recnum;Objid;Metod;Startdag;Stoppdag;Mattid;Punkt1;Resultat1;Variation1;Enhet;Punkt2;Resultat2;Variation2;Punkt3;Resultat3;Variation3;Punkt4;Resultat4;Variation4;Punkt5;Resultat5;Variation5;Medelvarde;Variation;Fastighet;Adress1;LagenhetNr;Vaning1;Vaning2;Vaning3;Vaning4;Vaning5;Utford_av;Ort1;Postnummer1;Hustyp;Byggnadsar;Ombyggnad;Byggmaterial;Mark;Grund;Grundtat;Ventilation;Xkordinat;Ykordinat
5988;57253;SPÅRFILM MED FILTER (SSI-1);2005-12-12 00:00:00.000;2006-03-21 00:00:00.000;99 dygn;ANNAT BOUTRYMME;66.0000;10;BQ/M3 RADONGAS;SOVRUM;53.0000;10;ANNAT BOUTRYMME;747.0000;80;;;;;;;288.0000;;DRÄNGS 14:19;NORRA DRÄNGSMARK 11;;BOTTENPLAN;1 TRAPPA UPP;KÄLLARE;;;GAMMADATA;KÅGE;934 96;VILLA;1961;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7211409.000000000000000;1744717.000000000000000
5989;57254;SPÅRFILM MED FILTER (SSI-1);2005-12-21 00:00:00.000;2006-03-21 00:00:00.000;90 dygn;SOVRUM;239.0000;30;BQ/M3 RADONGAS;ANNAT BOUTRYMME;140.0000;20;ANNAT BOUTRYMME;8.0000;;SOVRUM;20.0000;10;;;;101.0000;;BJURLIDEN 1:235;BLOCKLETARGATAN 3;;KÄLLARE;BOTTENPLAN;1 TRAPPA UPP;2 TRAPPOR UP;;GAMMADATA;BOLIDEN;936 32;VILLA;1933;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7204088.000000000000000;1717067.000000000000000
5990;6928;SPÅRFILM MED FILTER (SSI-1);2005-12-15 00:00:00.000;2006-03-06 00:00:00.000;81 dygn;SOVRUM;608.0000;70;BQ/M3 RADONGAS;ANNAT BOUTRYMME;646.0000;70;;;;;;;;;;627.0000;;MOSSAROTTRÄSK 5:8;BÄCKGATAN 17;;1 TRAPPA UPP;BOTTENPLAN;;;;GAMMADATA;JÖRN;930 55;VILLA;1951;1976;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7223683.000000000000000;1699027.000000000000000
5991;57255;SPÅRFILM MED FILTER (SSI-1);2005-12-13 00:00:00.000;2006-03-12 00:00:00.000;89 dygn;ANNAT BOUTRYMME;111.0000;20;BQ/M3 RADONGAS;SOVRUM;106.0000;20;;;;;;;;;;108.0000;;MOSSAROTTRÄSK 14:8;KYRKOGATAN 16;;1 TRAPPA UPP;2 TRAPPOR UP;;;;GAMMADATA;JÖRN;930 55;VILLA;1960;;OKÄNT;;PLATTA PÅ MARK;;SJÄLVDRAG;7223771.000000000000000;1699324.000000000000000
5992;57256;SPÅRFILM MED FILTER (SSI-1);2006-01-06 00:00:00.000;2006-04-07 00:00:00.000;91 dygn;ANNAT BOUTRYMME;43.0000;10;BQ/M3 RADONGAS;SOVRUM;49.0000;10;;;;;;;;;;46.0000;;MOSSAROTTRÄSK 1:294;BARRGATAN 46;;;;;;;GAMMADATA;JÖRN;930 55;VILLA;1975;;OKÄNT;;KRYP-/TORPARGRU;;SJÄLVDRAG;7223406.000000000000000;1699527.000000000000000
5993;57257;SPÅRFILM MED FILTER (SSI-1);2005-12-18 00:00:00.000;2006-03-10 00:00:00.000;82 dygn;ANNAT BOUTRYMME;32.0000;10;BQ/M3 RADONGAS;SOVRUM;26.0000;10;;;;;;;;;;29.0000;;BJURLIDEN 1:344;FINNFORSVÄGEN 35;;BOTTENPLAN;1 TRAPPA UPP;;;;GAMMADATA;BOLIDEN;936 32;VILLA;1941;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7203771.000000000000000;1717227.000000000000000
5994;57258;SPÅRFILM MED FILTER (SSI-1);2005-12-13 00:00:00.000;2006-03-12 00:00:00.000;89 dygn;ANNAT BOUTRYMME;142.0000;20;BQ/M3 RADONGAS;ANNAT BOUTRYMME;122.0000;20;;;;;;;;;;132.0000;;VÄSTRA JÖRNSMARKEN 5:2;LILLGATAN 13;;BOTTENPLAN;1 TRAPPA UPP;;;;GAMMADATA;JÖRN;930 55;VILLA;1961;;OKÄNT;;PLATTA PÅ MARK;;SJÄLVDRAG;7223075.000000000000000;1698993.000000000000000
5995;57259;SPÅRFILM MED FILTER (SSI-1);2006-01-22 00:00:00.000;2006-05-18 00:00:00.000;116 dygn;ANNAT BOUTRYMME;70.0000;10;BQ/M3 RADONGAS;ANNAT BOUTRYMME;259.0000;30;;;;;;;;;;164.0000;;OSTVIK 22:2;BYGATAN 86  OSTVIK;;1 TRAPPA UPP;KÄLLARE;;;;GAMMADATA;KÅGE;934 91;VILLA;1957;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7207664.000000000000000;1749462.000000000000000
5996;57260;SPÅRFILM MED FILTER (SSI-1);2006-03-01 00:00:00.000;2006-05-15 00:00:00.000;75 dygn;;37.0000;10;BQ/M3 RADONGAS;;57.0000;20;;;;;;;;;;47.0000;;FROSTKÅGE 15:11;FROSTKÅGE 576;;2 TRAPPOR UP;1 TRAPPA UPP;;;;GAMMADATA;KÅGE;934 92;VILLA;1957;;OKÄNT;;;;;7208597.000000000000000;1744662.000000000000000
5997;57261;SPÅRFILM MED FILTER (SSI-1);2006-01-01 00:00:00.000;2006-04-04 00:00:00.000;93 dygn;ANNAT BOUTRYMME;15.0000;;BQ/M3 RADONGAS;ANNAT BOUTRYMME;371.0000;50;;;;;;;;;;193.0000;;BJURLIDEN 1:440;RISGATAN 10;;BOTTENPLAN;KÄLLARE;;;;GAMMADATA;BOLIDEN;936 31;VILLA;1966;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7203425.000000000000000;1716731.000000000000000
5998;57262;SPÅRFILM MED FILTER (SSI-1);2005-12-29 00:00:00.000;2006-03-17 00:00:00.000;78 dygn;SOVRUM;25.0000;10;BQ/M3 RADONGAS;ANNAT BOUTRYMME;30.0000;10;;;;;;;;;;27.0000;;BYSKE-AVAN 7:1;AVAN 37;;BOTTENPLAN;1 TRAPPA UPP;;;;GAMMADATA;BYSKE;930 47;VILLA;;;OKÄNT;;KRYP-/TORPARGRU;;SJÄLVDRAG;7225214.000000000000000;1762019.000000000000000
