recnum;Objid;Metod;Startdag;Stoppdag;Mattid;Punkt1;Resultat1;Variation1;Enhet;Punkt2;Resultat2;Variation2;Punkt3;Resultat3;Variation3;Punkt4;Resultat4;Variation4;Punkt5;Resultat5;Variation5;Medelvarde;Variation;Fastighet;Adress1;LagenhetNr;Vaning1;Vaning2;Vaning3;Vaning4;Vaning5;Utford_av;Ort1;Postnummer1;Hustyp;Byggnadsar;Ombyggnad;Byggmaterial;Mark;Grund;Grundtat;Ventilation;Xkordinat;Ykordinat
10986;58915;SPÅRFILM MED FILTER (SSM:S MET;2007-11-22 00:00:00.000;2008-01-22 00:00:00.000;61 DYGN;SOVRUM;20.0000;+-10;RADONGAS;VARDAGSRUM;20.0000;+-10;;;;;;;;;;20.0000;;GETEN 2;NYGATAN 30 C;37;2;2;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 32;FLERPLANSHUS;1964;;;;;0;MEKANISK FRÅNLUFT;7193960.380000000000000;782729.790000000000000
10987;58915;SPÅRFILM MED FILTER (SSM:S MET;2007-11-22 00:00:00.000;2008-01-22 00:00:00.000;61 DYGN;SOVRUM;20.0000;+-10;RADONGAS;VARDAGSRUM;20.0000;+-10;;;;;;;;;;20.0000;;GETEN 2;NYGATAN 30 C;37;2;2;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 32;FLERPLANSHUS;1964;;;;;0;MEKANISK FRÅNLUFT;7193960.380000000000000;782729.790000000000000
10988;64592;SPÅRFILM MED FILTER (SSM:S MET;2007-11-21 00:00:00.000;2008-01-22 00:00:00.000;62 DYGN;VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GETEN 9;STORGATAN 33A-B, NYGATAN 32C-E;7;1;1;;;;PASELA MILJÖSUPPORT AB;;93135;;;;;;;N;;;
10989;58915;SPÅRFILM MED FILTER (SSM:S MET;2007-11-22 00:00:00.000;2008-01-22 00:00:00.000;61 DYGN;SOVRUM;20.0000;+-10;Radongas;VARDAGSRUM;20.0000;+-10;;;;;;;;;;20.0000;;GETEN 2;NYGATAN 30 C;42;3;3;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 32;FLERPLANSHUS;1964;;;;;0;MEKANISK FRÅNLUFT;7193960.380000000000000;782729.790000000000000
10990;64592;SPÅRFILM MED FILTER (SSM:S MET;2007-11-21 00:00:00.000;2008-01-22 00:00:00.000;62 DYGN;VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GETEN 9;STORGATAN 33A-B, NYGATAN 32C-E;9022;2;2;;;;PASELA MILJÖSUPPORT AB;;93135;;;;;;;N;;;
10991;64592;SPÅRFILM MED FILTER (SSM:S MET;2007-11-21 00:00:00.000;2008-01-22 00:00:00.000;62 DYGN;VARDAGSRUM;20.0000;+-10;Radongas;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GETEN 9;STORGATAN 33A-B, NYGATAN 32C-E;9017;2;2;;;;PASELA MILJÖSUPPORT AB;;93135;;;;;;;N;;;
10992;58203;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-21 00:00:00.000;87 DYGN;SOVRUM;510.0000;+-50;Radongas;VARDAGSRUM;520.0000;+-50;;;;;;;;;;520.0000;;ALMEN 37;ÅSGATAN 4;01;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 41;;;;;;;0;;7193441.000000000000000;1744638.000000000000000
10993;58203;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-21 00:00:00.000;87 DYGN;SOVRUM;300.0000;+-30;RADONGAS;VARDAGSRUM;290.0000;+-30;;;;;;;;;;300.0000;;ALMEN 37;ÅSGATAN 4;07;2;2;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 41;;;;;;;0;;7193441.000000000000000;1744638.000000000000000
10994;58203;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-21 00:00:00.000;87 DYGN;VARDAGSRUM;220.0000;+-20;RADONGAS;KÖK;230.0000;+-20;;;;;;;;;;220.0000;;ALMEN 37;ÅSGATAN 4;08;3;3;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 41;;;;;;;0;;7193441.000000000000000;1744638.000000000000000
10995;58920;SPÅRFILM MED FILTER (SSM:S MET;2007-11-19 00:00:00.000;2008-01-21 00:00:00.000;63 DYGN;VARDAGSRUM;160.0000;+-20;RADONGAS;SOVRUM;180.0000;+-20;;;;;;;;;;170.0000;;EMBLA 11;NORRBACKAGATAN 9;01;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93137;FLERPLANSHUS;1951;;;;;0;SJÄLVDRAG;7194599.770000000000000;783705.790000000000000
10996;58920;SPÅRFILM MED FILTER (SSM:S MET;2007-11-19 00:00:00.000;2008-01-21 00:00:00.000;63 DYGN;VARDAGSRUM;220.0000;+-20;RADONGAS;SOVRUM;240.0000;+-20;;;;;;;;;;230.0000;;EMBLA 11;NORRBACKAGATAN 9;04;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93137;FLERPLANSHUS;1951;;;;;0;SJÄLVDRAG;7194599.770000000000000;783705.790000000000000
10997;58920;SPÅRFILM MED FILTER (SSM:S MET;2007-11-19 00:00:00.000;2008-01-23 00:00:00.000;65 DYGN;VARDAGSRUM;220.0000;+-20;Radongas;SOVRUM;200.0000;+-20;;;;;;;;;;210.0000;;EMBLA 11;NORRBACKAGATAN 9;05;2;2;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93137;FLERPLANSHUS;1951;;;;;0;SJÄLVDRAG;7194599.770000000000000;783705.790000000000000
10998;59010;SPÅRFILM MED FILTER (SSM:S MET;2007-11-17 00:00:00.000;2008-01-22 00:00:00.000;66 DYGN;VARDAGSRUM/SOVRUM;20.0000;+-10;RADONGAS;VARDAGSRUM/SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GÖSEN 9;STRANDGATAN 16A-B, 18A-B;9;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93132;;1973;;;;;0;MEKANISK FRÅNLUFT;7193740.930000000000000;782710.940000000000000
10999;59010;SPÅRFILM MED FILTER (SSM:S MET;2007-11-17 00:00:00.000;2008-01-22 00:00:00.000;66 DYGN;VARDAGSRUM/SOV;20.0000;+-10;RADONGAS;VARDAGSRUM/SOV;20.0000;+-10;;;;;;;;;;20.0000;;GÖSEN 9;STRANDGATAN 16A-B, 18A-B;14;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93132;;1973;;;;;0;MEKANISK FRÅNLUFT;7193740.930000000000000;782710.940000000000000
11000;59010;SPÅRFILM MED FILTER (SSM:S MET;2007-11-17 00:00:00.000;2008-01-22 00:00:00.000;66 DYGN;VARDAGSRUM/SOVRUM;20.0000;+-10;RADONGAS;VARDAGSRUM/SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GÖSEN 9;STRANDGATAN 16A-B, 18A-B;11;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93132;;1973;;;;;0;MEKANISK FRÅNLUFT;7193740.930000000000000;782710.940000000000000
11001;59010;SPÅRFILM MED FILTER (SSM:S MET;2007-11-17 00:00:00.000;2008-01-22 00:00:00.000;66 DYGN;VARDAGSRUM/SOVRUM;20.0000;+-10;RADONGAS;VARDAGSRUM/SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GÖSEN 9;STRANDGATAN 16A-B, 18A-B;4;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93132;;1973;;;;;0;MEKANISK FRÅNLUFT;7193740.930000000000000;782710.940000000000000
11002;59010;SPÅRFILM MED FILTER (SSM:S MET;2007-11-17 00:00:00.000;2008-01-22 00:00:00.000;66 DYGN;VARDAGSRUM/SOVRUM;20.0000;+-10;RADONGAS;VARDAGSRUM/SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GÖSEN 9;STRANDGATAN 16A-B, 18A-B;27;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93132;;1973;;;;;0;MEKANISK FRÅNLUFT;7193740.930000000000000;782710.940000000000000
11003;59010;SPÅRFILM MED FILTER (SSM:S MET;2007-11-17 00:00:00.000;2008-01-22 00:00:00.000;66 DYGN;VARDAGSRUM/SOVRUM;20.0000;+-10;Radongas;VARDAGSRUM/SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GÖSEN 9;STRANDGATAN 16A-B, 18A-B;26;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93132;;1973;;;;;0;MEKANISK FRÅNLUFT;7193740.930000000000000;782710.940000000000000
11004;59010;SPÅRFILM MED FILTER (SSM:S MET;2007-11-17 00:00:00.000;2008-01-22 00:00:00.000;66 DYGN;VARDAGSRUM/SOVRUM;20.0000;+-10;RADONGAS;VARDAGSRUM/SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GÖSEN 9;STRANDGATAN 16A-B, 18A-B;25;-1;-1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93132;;1973;;;;;0;MEKANISK FRÅNLUFT;7193740.930000000000000;782710.940000000000000
11005;59010;SPÅRFILM MED FILTER (SSM:S MET;2007-11-17 00:00:00.000;2008-01-22 00:00:00.000;66 DYGN;VARDAGSRUM/SOVRUM;20.0000;+-10;RADONGAS;VARDAGSRUM/SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GÖSEN 9;STRANDGATAN 16A-B, 18A-B;18;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93132;;1973;;;;;0;MEKANISK FRÅNLUFT;7193740.930000000000000;782710.940000000000000
11006;59010;SPÅRFILM MED FILTER (SSM:S MET;2007-11-17 00:00:00.000;2008-01-22 00:00:00.000;66 DYGN;VARDAGSRUM/SOVRUM;20.0000;+-10;RADONGAS;VARDAGSRUM/SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;GÖSEN 9;STRANDGATAN 16A-B, 18A-B;104;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93132;;1973;;;;;0;MEKANISK FRÅNLUFT;7193740.930000000000000;782710.940000000000000
11007;58202;SPÅRFILM MED FILTER (SSM:S MET;2007-10-12 00:00:00.000;2008-01-23 00:00:00.000;103 DYGN;KÖK-HALL;360.0000;+-40;RADONGAS;;;;;;;;;;;;;;;BANÉR 10;NORRBÖLEGATAN 24;9;-1;;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 41;FLERPLANSHUS;1958;;;;;0;;7193366.000000000000000;1744933.000000000000000
11008;58202;SPÅRFILM MED FILTER (SSM:S MET;2007-10-12 00:00:00.000;2008-01-20 00:00:00.000;100 DYGN;KÖK-HALL;40.0000;+-10;RADONGAS;SOVRUM-VARDAGSRUM;40.0000;+-10;;;;;;;;;;40.0000;;BANÉR 10;NORRBÖLEGATAN 24;8;-1;-1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 41;FLERPLANSHUS;1958;;;;;0;;7193366.000000000000000;1744933.000000000000000
11009;58202;SPÅRFILM MED FILTER (SSM:S MET;2007-10-12 00:00:00.000;2008-01-20 00:00:00.000;100 DYGN;SOVRUM;180.0000;+-20;RADONGAS;VARDAGSRUM;250.0000;+-20;;;;;;;;;;210.0000;;BANÉR 10;NORRBÖLEGATAN 24;7;-1;-1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 41;FLERPLANSHUS;1958;;;;;0;;7193366.000000000000000;1744933.000000000000000
11010;58202;SPÅRFILM MED FILTER (SSM:S MET;2007-10-15 00:00:00.000;2008-01-20 00:00:00.000;97 DYGN;VARDAGSRUM;60.0000;+-10;RADONGAS;SOVRUM;70.0000;+-10;;;;;;;;;;70.0000;;BANÉR 10;NORRBÖLEGATAN 24;6;2;2;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 41;FLERPLANSHUS;1958;;;;;0;;7193366.000000000000000;1744933.000000000000000
11011;58202;SPÅRFILM MED FILTER (SSM:S MET;2007-10-12 00:00:00.000;2008-01-20 00:00:00.000;100 DYGN;TV-RUM;70.0000;+-10;RADONGAS;SOVRUM;60.0000;+-10;;;;;;;;;;60.0000;;BANÉR 10;NORRBÖLEGATAN 24;3;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 41;FLERPLANSHUS;1958;;;;;0;;7193366.000000000000000;1744933.000000000000000
11012;58202;SPÅRFILM MED FILTER (SSM:S MET;2007-10-12 00:00:00.000;2008-01-20 00:00:00.000;100 DYGN;VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;BANÉR 10;NORRBÖLEGATAN 24;1;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 41;FLERPLANSHUS;1958;;;;;0;;7193366.000000000000000;1744933.000000000000000
11013;58891;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-22 00:00:00.000;92 DYGN;VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;ÄRLAN 20;;? Berglund;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1965;;;;;0;SJÄLVDRAG;7193771.450000000000000;783748.990000000000000
11014;58891;SPÅRFILM MED FILTER (SSM:S MET;2007-10-21 00:00:00.000;2008-01-22 00:00:00.000;93 DYGN;VARDAGSRUM;110.0000;+-10;RADONGAS;SOVRUM;110.0000;+-10;;;;;;;;;;110.0000;;ÄRLAN 20;VARVSGATAN 2, 4;? SAMUEL;-1;-1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1965;;;;;0;SJÄLVDRAG;7193771.450000000000000;783748.990000000000000
11015;58891;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-23 00:00:00.000;93 DYGN;SOVRUM;20.0000;+-10;Radongas;VARDAGSRUM;20.0000;+-10;;;;;;;;;;20.0000;;ÄRLAN 20;VARVSGATAN 2, 4;?;3;3;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1965;;;;;0;SJÄLVDRAG;7193771.450000000000000;783748.990000000000000
11016;58891;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-21 00:00:00.000;91 DYGN;SOVRUM;30.0000;+-10;Radongas;VARDAGSRUM;20.0000;+-10;;;;;;;;;;20.0000;;ÄRLAN 20;VARVSGATAN 2, 4;? RISBERG;2;2;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1965;;;;;0;SJÄLVDRAG;7193771.450000000000000;783748.990000000000000
11017;58891;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-21 00:00:00.000;91 DYGN;VARDAGSRUM;20.0000;+-10;Radongas;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;ÄRLAN 20;VARVSGATAN 2, 4;? SJÖLUND;3;3;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1965;;;;;0;SJÄLVDRAG;7193771.450000000000000;783748.990000000000000
11018;58891;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-23 00:00:00.000;93 DYGN;SOVRUM;20.0000;+-10;Radongas;KÖK;20.0000;+-10;;;;;;;;;;20.0000;;ÄRLAN 20;VARVSGATAN 2, 4;?;3;3;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1965;;;;;0;SJÄLVDRAG;7193771.450000000000000;783748.990000000000000
11019;58891;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-22 00:00:00.000;91 DYGN;VARDAGSRUM;30.0000;+-10;Radongas;SOVRUM;30.0000;+-10;;;;;;;;;;30.0000;;ÄRLAN 20;VARVSGATAN 2, 4;? KARLSSON;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1965;;;;;0;SJÄLVDRAG;7193771.450000000000000;783748.990000000000000
11021;58892;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-21 00:00:00.000;91 DYGN;KÖK;20.0000;+-10;RADONGAS;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;UGGLAN 8;VARVSGATAN 3;?;3;3;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1946;;;;;0;SJÄLVDRAG;7193785.670000000000000;783683.490000000000000
11022;58892;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-21 00:00:00.000;91 DYGN;VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;UGGLAN 8;VARVSGATAN 3;? Bjärndell;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1946;;;;;0;SJÄLVDRAG;7193785.670000000000000;783683.490000000000000
11023;58892;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-21 00:00:00.000;91 DYGN;VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;UGGLAN 8;VARVSGATAN 3;? Bergkvist;2;2;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;93134;FLERPLANSHUS;1946;;;;;0;SJÄLVDRAG;7193785.670000000000000;783683.490000000000000
11024;58348;SPÅRFILM MED FILTER (SSM:S MET;2007-10-22 00:00:00.000;2008-01-21 00:00:00.000;91 DYGN;SOVRUM;20.0000;+-10;RADONGAS;HALL;20.0000;+-10;;;;;;;;;;20.0000;;ÖRNEN 8;STORGATAN 86;4;2;2;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 34;FLERPLANSHUS;1945;;;;;0;SJÄLVDRAG;7193939.460000000000000;783848.500000000000000
11025;58348;SPÅRFILM MED FILTER (SSM:S MET;2007-11-07 00:00:00.000;2008-01-24 00:00:00.000;78 DYGN;SOVRUM;40.0000;+-10;RADONGAS;VARDAGSRUM;30.0000;+-10;;;;;;;;;;30.0000;;ÖRNEN 8;STORGATAN 86;1;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 34;FLERPLANSHUS;1945;;;;;0;SJÄLVDRAG;7193939.460000000000000;783848.500000000000000
11026;58348;SPÅRFILM MED FILTER (SSM:S MET;2007-11-07 00:00:00.000;2008-01-24 00:00:00.000;78 DYGN;HALL;50.0000;+-10;RADONGAS;SOVRUM;50.0000;+-10;;;;;;;;;;50.0000;;ÖRNEN 8;STORGATAN 86;2;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 34;FLERPLANSHUS;1945;;;;;0;SJÄLVDRAG;7193939.460000000000000;783848.500000000000000
11027;58348;SPÅRFILM MED FILTER (SSM:S MET;2007-11-07 00:00:00.000;2008-01-24 00:00:00.000;78 DYGN;VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM;20.0000;+-10;;;;;;;;;;20.0000;;ÖRNEN 8;STORGATAN 86;3;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 34;FLERPLANSHUS;1945;;;;;0;SJÄLVDRAG;7193939.460000000000000;783848.500000000000000
11028;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;50.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;60.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 36A-B, 44;4;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11029;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;70.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;60.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 36A-B, 44;5;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11031;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;30.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;20.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 36A-B, 42, 44;11;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11032;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;20.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 36A-B, 42, 44;16;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11033;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;20.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 36A-B, 40A-B, 42, 44;17;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11034;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;40.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;40.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 36A-B, 40A-B, 42, 44;25;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11035;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;20.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;20.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 36A-B, 40A-B, 42, 44;27;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11036;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;90.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;90.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 36A-B, 40A-B, 42, 44;37;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11037;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-28 00:00:00.000;94 DYGN;SOVRUM/VARDAGSRUM;30.0000;+-10;Radongas;SOVRUM/VARDAGSRUM;30.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 34A-B 36A-B, 38A, 40A-B, 42, 44;39;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11038;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;60.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;60.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 34A-B 36A-B, 38A, 40A-B, 42, 44;42;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11039;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;30.0000;+-10;Radongas;SOVRUM/VARDAGSRUM;30.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 34A-B 36A-B, 38A, 40A-B, 42, 44;44;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11040;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;30.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;30.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 34A-B 36A-B, 38A, 40A-B, 42, 44;45;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11041;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;30.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;40.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 34A-B 36A-B, 38A, 40A-B, 42, 44;49;0;0;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11042;59013;SPÅRFILM MED FILTER (SSM:S MET;2007-10-26 00:00:00.000;2008-01-25 00:00:00.000;91 DYGN;SOVRUM/VARDAGSRUM;60.0000;+-10;RADONGAS;SOVRUM/VARDAGSRUM;50.0000;+-10;;;;;;;;;;;;ORGELN 1;FÄLJÄGARVÄGEN 34A-B 36A-B, 38A, 40A-B, 42, 44;54;1;1;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 31;FLERPLANSHUS;?;;;;;0;SJÄLVDRAG;7194317.060000000000000;781307.100000000000000
11043;58239;SPÅRFILM MED FILTER (SSM:S MET;2007-10-15 00:00:00.000;2008-01-28 00:00:00.000;105 DYGN;KÖK/SOVRUM;20.0000;+-10;RADONGAS;;;;;;;;;;;;;;;BJÖRNEN 14;STORGATAN 13;?;1;;;;;PASELA MILJÖSUPPORT AB;SKELLEFTEÅ;931 33;;;;;;;0;;7192840.000000000000000;1744332.000000000000000
